1560507246000,1560507246000,0,Assess loan risk,1560507246000,
1560526903915,1560502800000,0,Loan  application received,1560502800000,
1560528863037,1560509574001,0,Loan application rejected,1560509574001,
1560529098666,1560509574000,0,Reject application,1560509574000,
1560529698250,1560503622000,0,Check  application  form completeness,1560503622000,
1560532419874,1560506112000,0,Appraise property,1560506112000,
1560539657622,1560526367000,1,Check credit history,1560526367000,
1560541055291,1560508741000,0,Assess eligibility,1560508741000,
1560542160988,1560506185000,0,Check credit history,1560506185000,
1560542635717,1560526787000,1,Assess loan risk,1560526787000,
1560543276256,1560528056000,1,Assess eligibility,1560528056000,
1560550208723,1560521359000,1,Check  application  form completeness,1560521359000,
1560550637288,1560519000000,1,Loan  application received,1560519000000,
1560554024713,1560522417000,1,Appraise property,1560522417000,
1560554068353,1560530156001,1,Loan application rejected,1560530156001,
1560560504457,1560530156000,1,Reject application,1560530156000,
1560776561001,1560776561001,2,Loan  application canceled,1560776561001,
1560778878478,1560767533000,2,Appraise property,1560767533000,
1560781741059,1560765600000,2,Loan  application received,1560765600000,
1560783490000,1560783490000,3,Appraise property,1560783490000,
1560784664001,1560784664001,3,Loan application rejected,1560784664001,
1560785794767,1560774339000,2,Verify repayment agreement,1560774339000,
1560790492653,1560770814000,2,Assess eligibility,1560770814000,
1560792886119,1560770485000,2,Assess loan risk,1560770485000,
1560793288428,1560771938000,2,Prepare acceptance pack,1560771938000,
1560794139100,1560783153000,3,Check credit history,1560783153000,
1560794401565,1560772275000,2,Check if home insurance quote is requested,1560772275000,
1560796207773,1560767755000,2,Check credit history,1560767755000,
1560796892728,1560784008000,3,Assess loan risk,1560784008000,
1560799842531,1560776561000,2,Cancel application,1560776561000,
1560801629292,1560782418000,3,Check  application  form completeness,1560782418000,
1560802511380,1560766916000,2,Check  application  form completeness,1560766916000,
1560805982895,1560784664000,3,Reject application,1560784664000,
1560807989974,1560784035000,3,Assess eligibility,1560784035000,
1560808667848,1560781800000,3,Loan  application received,1560781800000,
1560809672772,1560774179000,2,Send acceptance pack,1560774179000,
1560880547468,1560860794000,4,Assess eligibility,1560860794000,
1560880845506,1560861444000,4,Reject application,1560861444000,
1560881216873,1560856136000,4,Check  application  form completeness,1560856136000,
1560882605694,1560858352000,4,Check credit history,1560858352000,
1560888032255,1560871800000,5,Loan  application received,1560871800000,
1560890067716,1560855600000,4,Loan  application received,1560855600000,
1560892001244,1560858202000,4,Appraise property,1560858202000,
1560892453487,1560858968000,4,Assess loan risk,1560858968000,
1560894259430,1560861444001,4,Loan application rejected,1560861444001,
1560894566039,1560872826000,5,Check credit history,1560872826000,
1560897376500,1560872568000,5,Check  application  form completeness,1560872568000,
1560909368171,1560876948000,5,Assess loan risk,1560876948000,
1560953392131,1560936833000,5,Appraise property,1560936833000,
1560954205537,1560941058001,5,Loan  application approved,1560941058001,
1560957302285,1560938099000,5,Prepare acceptance pack,1560938099000,
1560960051215,1560938856000,5,Check if home insurance quote is requested,1560938856000,
1560961045462,1560939689000,5,Send home insurance quote,1560939689000,
1560961237545,1560947398000,6,Check credit history,1560947398000,
1560961849602,1560937792000,5,Assess eligibility,1560937792000,
1560968452025,1560948924000,6,Assess loan risk,1560948924000,
1560969538919,1560945600000,6,Loan  application received,1560945600000,
1560970329708,1560945662000,6,Check  application  form completeness,1560945662000,
1560973158900,1560940499000,5,Verify repayment agreement,1560940499000,
